Rank,County,Population
1,Franklin County,1275333
2,Cuyahoga County,1253783
3,Hamilton County,812037
4,Summit County,541810
5,Montgomery County,532034
6,Lucas County,432379
7,Butler County,378294
8,Stark County,373475
9,Lorain County,306713
10,Mahoning County,231064
11,Lake County,230052
12,Warren County,226564
13,Clermont County,203216
14,Trumbull County,201794
15,Delaware County,197008
16,Medina County,177257
17,Licking County,172293
18,Greene County,165811
19,Portage County,162644
20,Fairfield County,152910
21,Clark County,135198
22,Wood County,129936
23,Richland County,121324
24,Wayne County,116208
25,Miami County,104800
26,Columbiana County,104003
27,Allen County,103642
28,Ashtabula County,98136
29,Geauga County,93961
30,Tuscarawas County,92526
31,Muskingum County,86076
32,Ross County,77051
33,Scioto County,76377
34,Hancock County,75690
35,Erie County,75136
36,Belmont County,68472
37,Jefferson County,66886
38,Athens County,65936
39,Marion County,65344
40,Knox County,61215
41,Washington County,60671
42,Lawrence County,60622
43,Sandusky County,59299
44,Huron County,58457
45,Pickaway County,57420
46,Union County,55654
47,Seneca County,55475
48,Ashland County,53477
49,Darke County,51734
50,Shelby County,48797
51,Auglaize County,45784
52,Logan County,45307
53,Madison County,43988
54,Holmes County,43859
55,Brown County,43679
56,Highland County,43007
57,Fulton County,42305
58,Crawford County,42021
59,Clinton County,41896
60,Preble County,41207
61,Mercer County,40806
62,Ottawa County,40709
63,Guernsey County,39274
64,Champaign County,38864
65,Defiance County,38279
66,Williams County,36936
67,Coshocton County,36574
68,Perry County,35985
69,Morrow County,34976
70,Putnam County,33969
71,Jackson County,32524
72,Hardin County,31542
73,Gallia County,30195
74,Fayette County,28645
75,Hocking County,28495
76,Van Wert County,28281
77,Pike County,28214
78,Adams County,27878
79,Carroll County,27578
80,Henry County,27316
81,Meigs County,23160
82,Wyandot County,22107
83,Paulding County,18872
84,Harrison County,15307
85,Morgan County,14702
86,Noble County,14443
87,Monroe County,14090
88,Vinton County,13111
